gen,id,x,y,word
0,36,10,3,otter
0,43,10,14,komodo dragon
0,10,1,10,tarsier
0,30,6,9,new zealand fur seal
0,63,13,13,wolf
0,6,1,14,zebra finch
0,52,5,12,zebra finch
0,61,2,4,cheetah
0,19,0,13,lemur
0,74,8,2,rhinoceros
0,64,0,3,jaguarundi
0,13,6,10,wolf
0,5,0,14,sloth
0,27,8,3,uakari monkeys
0,45,12,1,numbat
0,34,6,11,aye ayes
0,60,11,10,zebra finch
0,40,9,7,aye ayes
0,38,3,5,hedgehog
0,62,7,2,rhinoceros
0,75,9,13,badger
0,48,3,13,axolotl
0,25,13,5,badger
0,56,4,11,uakari monkeys
0,57,7,6,pangolin
0,42,0,5,wolf
0,58,12,13,wolf
0,59,13,7,dik dik goat
0,18,10,13,quokka
0,47,3,15,pangolin
0,54,5,8,hedgehog
0,15,12,2,dik dik goat
0,71,9,3,aye ayes
0,14,0,6,wolf
0,26,9,1,sloth
0,12,11,4,golden eagle
0,22,12,10,aye ayes
0,8,5,15,african wild dog
0,33,13,1,numbat
0,68,11,13,wolf
0,70,2,14,common opossum
0,0,10,8,cheetah
0,66,0,9,tarsier
0,24,6,1,iguana
0,55,15,11,new zealand fur seal
0,79,1,15,sloth
0,4,3,0,pangolin
0,23,5,3,rhinoceros
0,72,10,12,new zealand fur seal
0,76,2,15,aye ayes
0,29,10,4,mongoose
0,49,14,5,dik dik goat
0,44,14,6,pangolin
0,69,3,10,pangolin
0,17,5,7,new zealand fur seal
0,67,7,10,steller sea lion
0,7,1,9,shoebill stork
0,65,7,7,pangolin
0,28,7,15,eastern box turtle
0,39,8,6,otter
0,41,9,9,iguana
0,53,1,1,iguana
0,9,9,5,otter
0,2,2,5,cheetah
0,77,4,9,tarsier
0,21,9,11,steller sea lion
0,31,15,8,tarsier
0,51,10,6,shoebill stork
0,37,6,2,rhinoceros
0,1,6,3,addax
0,11,2,3,vervet monkey
0,35,15,13,new zealand fur seal
0,50,12,6,badger
0,16,3,2,hedgehog
0,3,5,10,axolotl
0,32,2,11,otter
0,73,1,12,otter
0,20,8,12,badger
0,46,5,11,wolf
0,78,2,10,axolotl
1,6,0,13,western tanager
1,34,6,11,aye ayes
1,38,3,5,rhinoceros
1,62,7,2,rhinoceros
1,50,12,6,badger
1,49,14,4,badger
1,67,7,11,steller sea lion
1,43,9,14,komodo dragon
1,55,14,12,new zealand fur seal
1,45,13,2,numbat
1,60,12,9,zebra finch
1,17,4,8,new zealand fur seal
1,76,2,15,aardvark
1,74,8,2,rhinoceros
1,48,4,13,wolf
1,26,10,1,otter
1,10,1,10,tarsier
1,70,1,13,otter
1,39,9,6,otter
1,59,13,8,dik dik goat
1,77,5,9,tarsier
1,25,13,4,badger
1,58,11,12,wolf
1,9,10,6,otter
1,19,0,12,lemur
1,33,12,0,numbat
1,15,13,3,numbat
1,2,3,4,rhinoceros
1,12,10,5,otter
1,57,6,7,pangolin
1,37,6,2,rhinoceros
1,4,4,0,pangolin
1,8,6,0,african wild dog
1,75,10,12,wolf
1,73,1,12,otter
1,29,9,4,mongoose
1,69,2,10,pangolin
1,53,1,0,pangolin
1,27,8,3,uakari monkeys
1,41,8,9,iguana
1,63,13,12,wolf
1,0,10,8,cheetah
1,40,9,7,tarsier
1,61,2,4,rhinoceros
1,35,14,13,wolf
1,72,9,12,badger
1,30,6,9,wolf
1,52,5,12,wolf
1,42,0,4,wolf
1,65,6,8,pangolin
1,21,10,11,wolf
1,78,1,11,axolotl
1,79,1,15,sloth
1,14,1,7,wolf
1,66,15,9,tarsier
1,13,7,9,wolf
1,44,15,6,pangolin
1,24,7,0,iguana
1,23,4,4,gazelle
1,31,14,8,tarsier
1,1,7,4,addax
1,28,6,15,eastern box turtle
1,47,3,0,pangolin
1,71,8,4,aye ayes
1,18,10,13,badger
1,5,0,15,sloth
1,22,13,9,aye ayes
1,20,7,13,badger
1,36,10,2,otter
1,7,2,8,wolf
1,11,2,3,vervet monkey
1,68,11,13,wolf
1,3,5,10,wolf
1,51,10,7,shoebill stork
1,46,5,11,wolf
1,16,4,2,hedgehog
1,56,4,11,uakari monkeys
1,64,0,3,wolf
1,32,3,12,otter
1,54,4,7,hedgehog
2,39,10,6,pangolin
2,66,15,9,tarsier
2,27,8,3,uakari monkeys
2,31,14,8,tarsier
2,9,9,5,mongoose
2,14,2,6,wolf
2,58,11,12,wolf
2,50,11,7,otter
2,16,5,3,hedgehog
2,60,11,9,zebra finch
2,76,1,14,sloth
2,0,9,9,cheetah
2,20,8,14,badger
2,34,6,10,wolf
2,44,14,5,pangolin
2,32,3,13,otter
2,53,1,1,pangolin
2,30,6,9,wolf
2,40,9,7,mongoose
2,67,7,11,african civet
2,72,8,11,badger
2,55,15,13,wolf
2,38,2,4,rhinoceros
2,19,0,12,wolf
2,41,9,8,otter
2,37,6,2,rhinoceros
2,64,0,3,badger
2,3,5,11,wolf
2,73,1,12,otter
2,78,1,11,tarsier
2,52,5,12,wolf
2,70,2,13,otter
2,74,7,1,rhinoceros
2,7,1,9,wolf
2,25,14,3,badger
2,33,13,1,numbat
2,21,10,11,wolf
2,12,10,5,otter
