gen,id,x,y,word
0,13,10,11,tasmanian devil
0,28,3,10,hippopotamus
0,19,7,13,rhinoceros
0,61,11,4,malayan sunbear
0,38,7,7,capybara
0,43,6,14,capybara
0,54,5,1,fossa
0,56,4,11,tapirus
0,24,1,1,okapi
0,41,7,5,capybara
0,33,12,7,axolotl
0,71,5,8,dolphin
0,77,4,15,uakari
0,2,4,13,uakari
0,68,5,5,gazelle
0,72,0,10,numbat
0,9,6,3,kangaroo
0,46,15,0,manatee
0,29,1,11,dolphin
0,51,15,8,hippopotamus
0,67,15,6,tarsier
0,76,10,15,red panda
0,27,3,0,jaguarundi
0,22,7,4,capybara
0,63,15,2,hippopotamus
0,79,5,14,uakari
0,45,6,12,rhinoceros
0,39,11,1,rhinoceros
0,35,11,6,siren
0,14,13,12,rhinoceros
0,32,14,8,vulture
0,11,11,8,iguana
0,21,11,0,fossa
0,18,1,12,shoebill stork
0,65,2,0,giraffe
0,78,4,5,jaguarundi
0,25,10,4,tapirus
0,20,1,15,giraffe
0,12,9,15,dolphin
0,40,12,5,shoebill stork
0,62,1,13,sitatunga
0,48,2,13,giraffe
0,37,3,3,iguana
0,73,9,0,dolphin
0,7,13,11,rhinoceros
0,52,8,8,capybara
0,1,15,5,tarsier
0,53,15,1,hippopotamus
0,74,1,2,guenons
0,8,10,7,snow leopard
0,16,8,5,common marmoset
0,31,5,10,echidna
0,55,12,1,fossa
0,5,4,8,mongoose
0,66,5,13,pacarana
0,47,13,7,vulture
0,4,2,9,hippopotamus
0,75,12,13,hedgehogs
0,0,7,9,armadillo
0,50,12,9,steller's sea eagle
0,60,7,10,armadillo
0,64,5,4,rhebok
0,3,7,8,red panda
0,6,6,9,armadillo
0,44,11,9,armadillo
0,34,9,5,ostrich
0,58,2,1,vulture
0,15,15,10,meerkats
0,49,13,1,okapi
0,17,13,9,dk dik disk
0,69,9,11,numbat
0,42,8,13,rhinoceros
0,70,0,11,numbat
0,23,8,3,zebra
0,57,12,14,aardvark
0,36,0,9,anteater
0,10,10,3,tapirus
0,59,14,9,hippopotamus
0,26,3,14,ostrich
0,30,9,8,numbat
1,40,13,4,shoebill stork
1,65,2,1,giraffe
1,46,15,15,baiji
1,20,1,15,giraffe
1,34,8,4,ostrich
1,17,13,9,hippopotamus
1,7,13,12,addax
1,44,12,9,armadillo
1,47,13,7,vulture
1,73,9,0,dolphin
1,27,4,15,jaguarundi
1,36,0,9,hippopotamus
1,11,10,9,iguana
1,66,6,12,tapirus
1,68,5,5,capybara
1,51,15,8,hippopotamus
1,33,12,7,axolotl
1,16,8,5,common marmoset
1,57,13,13,aardvark
1,8,11,7,snow leopard
1,14,12,11,rhinoceros
1,25,9,5,ostrich
1,53,0,2,hippopotamus
1,45,5,12,rhinoceros
1,29,2,11,dolphin
1,19,8,13,rhinoceros
1,76,11,0,red panda
1,26,2,14,giraffe
1,54,4,0,fossa
1,43,5,15,capybara
1,4,3,9,hippopotamus
1,31,5,10,echidna
1,78,3,6,mongoose
1,18,0,13,goliath heron
1,79,5,13,uakari
1,39,11,1,rhinoceros
1,70,15,11,numbat
1,55,13,2,fossa
1,63,14,1,fossa
1,60,7,10,capybara
1,71,5,8,elk
1,1,0,6,tarsier
1,32,13,8,vulture
1,23,7,2,zebra
1,64,5,4,capybara
1,56,5,11,tapirus
1,50,11,10,steller's sea eagle
1,62,0,14,giraffe
1,61,11,4,tapirus
1,5,4,7,hippopotamus
1,2,5,14,capybara
1,22,7,4,capybara
1,77,3,15,uakari
1,48,3,13,giraffe
1,42,8,14,rhinoceros
1,30,10,8,platypus
1,6,6,9,capybara
1,58,3,1,fossa
1,52,9,9,capybara
1,75,12,13,rhinoceros
1,41,6,5,capybara
1,67,15,6,tarsier
1,69,8,10,capybara
1,13,9,10,tasmanian devil
1,35,12,6,siren
1,3,8,9,capybara
1,38,6,8,capybara
1,28,4,9,rhinoceros
1,74,1,2,hippopotamus
1,37,2,4,iguana
1,12,10,14,dolphin
1,59,14,9,hippopotamus
1,24,1,1,okapi
1,0,7,9,capybara
1,9,6,4,kangaroo
1,49,12,2,rhinoceros
1,21,12,0,fossa
1,10,10,3,tapirus
1,72,0,10,numbat
1,15,15,9,meerkats
2,14,12,11,rhinoceros
2,20,2,0,giraffe
2,30,11,8,lava lizard
2,31,4,11,echidna
2,28,5,10,rhinoceros
2,66,6,12,tapirus
2,7,13,12,addax
2,19,9,12,rhinoceros
2,74,0,3,echidna
2,41,6,5,capybara
2,68,5,5,hippopotamus
2,72,1,10,numbat
2,47,13,7,vulture
2,5,4,6,hippopotamus
2,9,6,4,capybara
2,0,8,8,capybara
2,73,9,15,dolphin
2,35,12,6,siren
2,62,15,14,giraffe
2,12,10,13,dolphin
2,17,13,10,rhinoceros
2,10,9,2,tapirus
2,3,8,9,capybara
2,42,7,15,rhinoceros
2,77,4,14,uakari
2,33,13,6,axolotl
2,18,15,12,goliath heron
2,25,8,4,ostrich
2,59,15,8,hippopotamus
2,16,8,5,common marmoset
2,48,4,12,giraffe
2,43,5,15,capybara
2,69,9,11,rhinoceros
2,79,5,13,giraffe
2,2,5,14,capybara
2,8,10,7,snow leopard
2,23,6,1,zebra
2,36,15,10,hippopotamus
2,76,11,0,red panda
2,58,3,2,fossa
2,53,0,2,hippopotamus
2,52,8,10,capybara
2,32,13,8,vulture
2,38,7,7,springhare
2,46,15,15,giraffe
2,15,15,9,hippopotamus
2,37,1,4,iguana
2,70,0,11,numbat
2,63,15,2,fossa
2,27,3,0,giraffe
2,29,1,12,dolphin
2,39,11,1,rhinoceros
2,54,3,15,fossa
2,50,10,11,capybara
2,11,10,10,capybara
2,13,10,9,tasmanian devil
2,22,8,3,capybara
2,24,0,1,sable antelope
2,1,1,7,tarsier
2,56,4,10,hippopotamus
2,6,6,10,capybara
2,34,7,5,ostrich
2,21,12,0,sus scrofa
2,57,12,14,rhinoceros
2,26,2,14,giraffe
2,4,4,9,rhinoceros
2,60,7,11,capybara
2,78,3,6,mongoose
2,51,14,7,vulture
2,44,13,9,armadillo
2,49,12,2,rhinoceros
2,40,12,3,shoebill stork
2,65,1,0,giraffe
2,55,13,1,rhinoceros
2,45,6,13,rhinoceros
2,75,12,13,rhinoceros
2,61,12,4,tapirus
2,67,14,5,tarsier
2,64,5,3,capybara
2,71,4,8,elk
3,30,12,9,lava lizard
3,65,1,0,fossa
3,44,14,8,pangolin
3,1,0,6,tarsier
3,16,9,6,common marmoset
3,0,9,8,capybara
3,14,12,11,rhinoceros
3,22,7,4,ostrich
3,66,6,11,rhinoceros
3,45,6,12,capybara
3,69,10,12,rhinoceros
3,38,7,8,capybara
3,25,8,4,ostrich
3,41,7,6,capybara
3,46,14,15,giraffe
3,17,14,9,rhinoceros
3,8,10,8,snow leopard
3,28,5,9,rhinoceros
3,27,3,15,giraffe
3,58,4,3,fossa
3,15,14,10,rhinoceros
3,50,9,10,capybara
3,59,15,8,vulture
3,43,5,14,capybara
3,2,4,15,capybara
3,48,3,13,giraffe
3,56,3,9,hippopotamus
3,61,13,5,tapirus
3,55,13,1,rhinoceros
3,64,5,3,capybara
3,23,7,0,rhinoceros
3,76,11,15,red panda
3,73,10,0,dolphin
3,6,5,11,capybara
3,77,3,14,giraffe
3,60,7,10,capybara
3,71,5,7,elk
3,68,5,6,hippopotamus
3,9,6,4,capybara
3,11,10,10,capybara
3,62,15,15,giraffe
3,74,0,3,echidna
3,37,1,5,iguana
3,26,2,14,giraffe
3,35,11,5,siren
3,53,1,3,hippopotamus
3,24,0,1,sable antelope
3,70,0,12,numbat
3,7,14,12,addax
3,34,7,5,ostrich
3,40,13,3,shoebill stork
3,12,11,13,rhinoceros
3,67,14,6,tarsier
3,51,14,7,vulture
3,63,15,2,fossa
3,29,1,12,dolphin
3,57,13,13,rhinoceros
3,79,6,14,giraffe
3,47,13,7,tarantula hawk wasp
3,78,3,5,mongoose
3,31,3,12,echidna
3,21,12,0,sus scrofa
3,10,10,3,rhinoceros
3,72,2,10,hippopotamus
3,33,14,5,tapirus
3,75,11,12,rhinoceros
3,4,5,10,rhinoceros
3,18,15,11,numbat
3,32,13,8,armadillo
3,39,10,2,warthog
3,49,12,2,rhinoceros
3,19,8,12,rhinoceros
3,36,0,9,hippopotamus
3,3,8,9,capybara
3,52,8,10,capybara
3,5,4,6,hippopotamus
3,20,1,1,giraffe
3,13,10,9,capybara
3,54,2,15,fossa
3,42,6,0,rhinoceros
4,36,0,9,vulture
4,28,6,8,rhinoceros
4,9,6,4,ostrich
4,51,14,7,armadillo
4,64,4,2,rhinoceros
4,23,8,1,rhinoceros
4,12,10,13,rhinoceros
4,2,3,0,capybara
4,3,8,9,capybara
4,15,13,11,rhinoceros
4,67,15,6,tapirus
4,19,8,11,rhinoceros
4,78,4,5,hippopotamus
4,10,9,2,rhinoceros
4,31,4,12,giraffe
4,34,7,6,marabou
4,68,5,5,hippopotamus
4,65,1,0,fossa
4,25,9,3,ostrich
4,54,2,0,fossa
4,27,3,15,giraffe
4,33,14,6,tapirus
4,47,13,7,tarantula hawk wasp
4,45,6,12,capybara
4,43,5,13,giraffe
4,57,14,13,giraffe
4,16,9,6,common marmoset
4,26,2,14,giraffe
4,74,15,3,fossa
4,72,2,11,hippopotamus
4,5,3,7,elk
4,20,1,1,fossa
4,55,13,0,rhinoceros
4,61,12,6,tapirus
4,32,13,8,armadillo
4,66,6,11,rhinoceros
4,39,10,1,warthog
4,62,0,0,giraffe
4,69,9,11,rhinoceros
4,76,10,15,red panda
4,11,11,11,rhinoceros
4,56,3,9,hippopotamus
4,70,0,11,numbat
4,1,0,6,tarsier
4,77,4,14,giraffe
4,21,11,1,sus scrofa
4,24,0,2,sable antelope
4,75,10,11,asian rhino
4,14,12,12,rhinoceros
4,59,15,8,vulture
4,0,9,8,capybara
4,30,12,8,lava lizard
4,22,7,4,ostrich
4,46,14,14,giraffe
4,35,11,6,tapirus
4,8,10,8,capybara
4,52,7,9,rhinoceros
4,44,14,8,pangolin
4,49,12,2,rhinoceros
4,17,13,10,rhinoceros
4,13,10,9,capybara
4,42,5,1,rhinoceros
