gen,id,x,y,word
0,6,0,13,anteater
0,64,9,8,caspian tiger
0,37,3,15,dugong
0,60,4,10,uromastyx lizard
0,19,15,5,shark
0,59,4,3,panthera leo
0,17,10,0,okapi
0,67,15,4,shark
0,28,11,9,newt
0,34,12,6,hedgehog
0,5,9,5,lion
0,13,2,5,pangolin
0,69,4,9,anteater
0,63,13,15,dugong
0,70,14,4,swordtail cat shark
0,9,13,3,stingray
0,75,15,3,xoloitzcuintli dog
0,21,8,11,dugong
0,36,15,0,wolf
0,4,15,14,mongoose
0,66,4,11,uromastyx lizard
0,12,13,14,komodo dragon
0,45,1,12,tarsier
0,38,6,2,dugong
0,30,15,10,pangolin
0,15,9,7,fossa
0,26,11,11,vulture
0,61,8,15,rhinoceros
0,20,0,15,mongoose
0,79,1,3,tibeten mastif
0,50,0,8,common eider duck
0,35,0,4,mongoose
0,72,9,6,zebra spider monkey
0,1,10,9,tarsier
0,62,6,15,hedgehog
0,39,1,7,cheetah
0,73,15,7,shark
0,25,5,7,axolotl
0,40,3,0,ibex
0,11,14,8,sloth
0,42,12,8,axolotl
0,55,12,5,elephant seal
0,78,2,2,cheetah
0,18,11,7,sub arctic fox
0,57,9,1,okapi
0,41,11,3,yak
0,31,6,12,narwhal
0,29,13,1,dugong
0,48,5,4,shark
0,2,10,6,fossa
0,52,8,6,lion
0,58,3,14,newt
0,23,2,15,ibex
0,74,0,12,anteater
0,65,6,10,dwarf mongoose
0,22,6,6,hedgehog
0,3,11,10,bengali cat
0,56,3,13,zebra spider monkey
0,7,6,11,fossa
0,16,0,10,shark
0,10,7,0,rhinoceros
0,53,9,12,yak
0,27,9,2,wolf
0,47,2,1,common eider duck
0,14,11,4,yak
0,44,14,12,hawk
0,49,2,8,cheetah
0,8,14,13,cardinalfish
0,76,13,2,dugong
0,46,5,1,anteater
0,33,0,6,cheetah
0,43,10,15,uromastyx lizard
0,51,11,8,jaguarundi
0,0,6,14,common eider duck
0,32,5,3,shark
0,24,9,11,yak
0,77,14,10,pangolin
0,54,15,6,shark
0,68,4,15,dugong
0,71,6,3,shark
1,11,15,7,sloth
1,10,7,15,rhinoceros
1,40,4,1,ibex
1,30,14,10,pangolin
1,20,0,14,mongoose
1,2,10,5,fossa
1,53,10,12,yak
1,49,2,7,cheetah
1,73,0,8,cheetah
1,44,13,12,hawk
1,26,11,11,vulture
1,46,4,2,shark
1,54,15,6,shark
1,36,15,1,wolf
1,45,1,13,mongoose
1,27,10,3,wolf
1,79,2,3,tibeten mastif
1,0,7,13,rhinoceros
1,68,4,15,newt
1,61,9,15,okapi
1,72,8,5,lion
1,9,14,2,stingray
1,5,8,4,lion
1,78,2,2,cheetah
1,6,0,13,anteater
1,38,7,1,dugong
1,66,5,10,uromastyx lizard
1,60,4,9,uromastyx lizard
1,12,12,13,hawk
1,14,12,3,yak
1,23,1,15,ibex
1,28,12,10,vulture
1,75,15,2,wolf
1,74,0,12,shark
1,1,10,9,tarsier
1,76,13,2,dugong
1,22,6,7,hedgehog
1,41,12,2,yak
1,57,8,2,okapi
1,48,4,4,shark
1,39,1,7,pangolin
1,52,7,6,lion
1,50,0,9,common eider duck
1,16,0,11,shark
1,59,5,2,panthera leo
1,32,5,3,shark
1,67,15,4,shark
1,42,11,9,axolotl
1,13,2,6,pangolin
1,17,10,0,nyala
1,7,7,11,fossa
1,18,10,7,sub arctic fox
1,8,13,13,hawk
1,58,2,14,newt
1,21,7,12,fossa
1,77,13,11,pangolin
1,33,0,5,cheetah
1,51,11,8,jaguarundi
1,24,10,11,yak
1,3,10,10,yak
1,70,13,4,swordtail cat shark
1,43,10,15,uromastyx lizard
1,65,6,9,dwarf mongoose
1,15,8,7,fossa
1,69,5,9,anteater
1,62,7,14,rhinoceros
1,71,6,4,shark
1,19,15,5,shark
1,34,13,7,hedgehog
1,63,13,0,dugong
1,29,13,1,dugong
1,37,3,15,newt
1,25,5,8,axolotl
1,31,6,13,narwhal
1,47,3,2,common eider duck
1,35,0,4,bull ray
1,56,4,13,zebra spider monkey
1,4,15,15,mongoose
1,55,12,5,elephant seal
1,64,9,8,caspian tiger
2,34,12,6,hedgehog
2,17,11,1,eyebrow markhor
2,8,14,12,hawk
2,10,7,0,dugong
2,9,15,3,stingray
2,35,0,4,bull ray
2,75,0,1,wolf
2,3,10,10,yak
2,48,4,4,shark
2,50,0,9,pangolin
2,45,1,13,shark
2,1,11,10,vulture
2,54,0,6,cheetah
2,28,13,10,hawk
2,55,11,4,elephant seal
2,23,1,14,mongoose
2,26,11,11,yak
2,76,13,2,dugong
2,22,6,7,hedgehog
2,58,2,15,newt
2,19,15,5,cheetah
2,42,11,9,axolotl
2,37,3,15,newt
2,32,6,4,shark
2,64,10,7,fossa
2,39,1,6,pangolin
2,79,1,2,tibeten mastif
2,24,10,11,yak
2,52,8,6,lion
2,27,9,2,wolf
